"Device ID","Device Type","Periodicity","Retry Count","TX PULSE: Initial count 1/TX ANALOG: Wake Time","TX PULSE: Initial count 2","TX ENERGY: Slave ID","Baud Rate","Parity","Stop Bits","Data Bits","TX ENERGY: Register Nbr","TX ENERGY : Register Cnt","RX MODBUS ID","RX MODBUS: First register","RX MODBUS: First TX ENERGY Register","Last Configured"
"12118481","TX TEMP","5","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2018-08-06 17:22:47 OK"
"12310268","TX TEMP","5","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2018-08-06 17:29:27 OK"
"12310267","TX TEMP","5","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2018-08-06 17:35:11 OK"
"12310257","TX TEMP","5","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2018-08-06 17:33:07 OK"
"12220020","TX TEMP HUM","5","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2018-08-06 17:46:10 OK"
"12220041","TX TEMP HUM","5","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2018-08-06 17:44:25 OK"
"12220046","TX TEMP HUM","5","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2018-08-06 17:47:23 OK"
"12220064","TX TEMP HUM","5","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2018-08-06 17:49:36 OK"
"21511413","RX MODBUS","NA","NA","NA","NA","NA","9600","None","1","8","NA","NA","1","31000","32000","2021-02-07 11:43:39 OK"
"18251004","TX CO2","15","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2018-08-06 17:56:59 OK"
